Country,Year,Gas production,Gas consumption,Gas imports,Gas exports,Gas reserves,Coal production,Coal consumption,Coal imports,Coal exports,Coal reserves,Oil production,Oil consumption,Oil imports,Oil exports,Oil reserves,Gas production per capita,Gas consumption per capita,Gas imports per capita,Gas exports per capita,Gas reserves per capita,Coal production per capita,Coal consumption per capita,Coal imports per capita,Coal exports per capita,Coal reserves per capita,Oil production per capita,Oil consumption per capita,Oil imports per capita,Oil exports per capita,Oil reserves per capita,Population,Gas net imports,Coal net imports,Oil net imports,Gas net imports per capita,Coal net imports per capita,Oil net imports per capita
France,2016,20000000,41650000000,46440000000,3717000000,8751000000,0,12740000,13000000,108800,0,953400,99270000,64190000,0,12470000,0.3093,644,718.1,57.49,135.3,0,0.197,0.201,0.001683,0,0.01474,1.535,0.9926,0,0.1928,64670000,42720000000,12890000,64190000,660.6,0.1993,0.9926
France,2017,16000000,41890000000,48610000000,6042000000,8609000000,0,14400000,15140000,64010,0,882700,100900000,66900000,78570,11500000,0.2468,646,749.6,93.18,132.8,0,0.2221,0.2334,0.0009872,0,0.01361,1.555,1.032,0.001212,0.1774,64840000,42560000000,15070000,66820000,656.4,0.2324,1.03
France,2018,8767000,39990000000,49290000000,5927000000,8411000000,0,12410000,13490000,16810,0,903700,97900000,61820000,0,10630000,0.1349,615.4,758.3,91.2,129.4,0,0.191,0.2076,0.0002586,0,0.0139,1.506,0.9513,0,0.1635,64990000,43360000000,13480000,61820000,667.1,0.2074,0.9513
France,2019,16230000,41220000000,54640000000,10790000000,8213000000,0,9886000,10510000,16810,0,845400,98050000,57270000,0,9813000,0.2493,632.9,838.9,165.7,126.1,0,0.1518,0.1614,0.0002581,0,0.01298,1.505,0.8794,0,0.1507,65130000,43840000000,10500000,57270000,673.2,0.1612,0.8794
France,2020,17041500,38200000000,46110000000,9105000000,8015000000,0,7938000,7434000,22980,0,751300,82520000,38480000,0,8881000,0.261092385,585.2,706.4,139.5,122.8,0,0.1216,0.1139,0.0003521,0,0.01151,1.264,0.5894,0,0.1361,65270000,37010000000,7411000,38480000,566.9,0.1135,0.5894
Germany,2016,9034000000,87950000000,1.096E+11,33410000000,47410000000,175600000,232200000,55160000,1475000,36110000,2705000,138400000,106700000,118400,21060000,109.9,1070,1333,406.4,576.8,2.137,2.825,0.6711,0.01795,0.4393,0.03291,1.684,1.298,0.001441,0.2563,82190000,76150000000,53680000,106600000,926.4,0.6531,1.297
Germany,2017,7888000000,93360000000,1.195E+11,34610000000,42000000000,175100000,223000000,48730000,1672000,34050000,2524000,142300000,106400000,0,23120000,95.43,1129,1446,418.7,508.1,2.119,2.698,0.5896,0.02022,0.4119,0.03053,1.721,1.287,0,0.2798,82660000,84870000000,47060000,106400000,1027,0.5694,1.287
Germany,2018,6158000000,93060000000,89280000000,0,39510000000,169000000,216200000,45230000,1653000,35900000,2361000,135100000,99910000,0,20610000,74.08,1119,1074,0,475.3,2.033,2.601,0.5441,0.01988,0.4319,0.0284,1.625,1.202,0,0.2479,83120000,89280000000,43570000,99910000,1074,0.5242,1.202
Germany,2019,5936000000,99510000000,96190000000,0,34610000000,131300000,171300000,41350000,1783000,35900000,2190000,136300000,101200000,121400,17970000,71.07,1192,1152,0,414.4,1.572,2.051,0.4951,0.02135,0.4299,0.02622,1.632,1.211,0.001454,0.2152,83520000,96190000000,39560000,101100000,1152,0.4737,1.21
Germany,2020,5069000000,91350000000,84530000000,0,28400000000,107400000,137700000,29900000,1571000,35900000,2173000,124800000,96540000,0,16260000,60.5,1090,1009,0,339,1.282,1.644,0.3569,0.01874,0.428503223,0.02594,1.489,1.152,0,0.194,83780000,84530000000,28330000,96540000,1009,0.3382,1.152
United States,2016,7.531E+11,7.772E+11,85140000000,66140000000,8.715E+12,660800000,663200000,6932000,54150000,230600000,514000000,1144000000,455800000,34320000,5602000000,2331,2406,263.6,204.8,26980,2.046,2.053,0.02146,0.1676,0.7139,1.591,3.54,1.411,0.1062,17.34,323000000,19000000000,-47220000,421500000,58.83,-0.1462,1.305
United States,2017,7.743E+11,7.686E+11,85900000000,89320000000,9.126E+12,702700000,650300000,5690000,87540000,229900000,544200000,1159000000,462800000,67220000,5599000000,2382,2364,264.2,274.7,28070,2.162,2,0.0175,0.2693,0.7073,1.674,3.564,1.423,0.2068,17.22,325100000,-3415000000,-81850000,395500000,-10.5,-0.2518,1.217
United States,2018,8.715E+11,8.535E+11,81810000000,1.022E+11,1.242E+13,686000000,624200000,3886000,104600000,229300000,636700000,1191000000,451100000,118900000,6676000000,2664,2609,250.1,312.4,37960,2.097,1.908,0.01188,0.3199,0.701,1.946,3.641,1.379,0.3636,20.41,327100000,-20360000000,-100800000,332200000,-62.25,-0.308,1.016
United States,2019,9.6E+11,8.817E+11,77650000000,1.319E+11,1.345E+13,640800000,533800000,6075000,85060000,228700000,711200000,1193000000,394900000,173200000,7481000000,2917,2679,236,400.8,40860,1.947,1.622,0.01846,0.2585,0.6949,2.161,3.625,1.2,0.5262,22.74,329100000,-54260000000,-78990000,221800000,-164.9,-0.24,0.674
United States,2020,9.483E+11,8.63E+11,72250000000,1.496E+11,1.318E+13,485700000,433100000,4661000,62660000,228700000,656600000,1056000000,341200000,184400000,7490000000,2865,2607,218.3,452.1,39820,1.467,1.308,0.01408,0.1893,0.690936556,1.984,3.19,1.031,0.5571,22.63,331000000,-77380000000,-58000000,156900000,-233.8,-0.1752,0.4739
United Kingdom,2016,41670000000,81110000000,47190000000,9981000000,2.054E+11,4178000,18040000,8494000,443700,69850,54180000,92860000,46120000,35940000,438000000,628.5,1223,711.7,150.6,3099,0.06302,0.2721,0.1281,0.006693,0.001054,0.8172,1.401,0.6956,0.5421,6.606,66300000,37200000000,8050000,10180000,561.2,0.1214,0.1535
United Kingdom,2017,42120000000,79170000000,47000000000,11260000000,2.073E+11,3041000,14440000,8498000,494900,69850,52870000,94030000,51540000,40180000,407700000,631.2,1186,704.3,168.7,3106,0.04558,0.2164,0.1274,0.007417,0.001047,0.7923,1.409,0.7725,0.6021,6.11,66730000,35740000000,8003000,11370000,535.6,0.1199,0.1704
United Kingdom,2018,40810000000,79850000000,47000000000,7560000000,1.807E+11,2782000,12060000,10080000,633800,26000,58070000,93220000,51780000,47510000,397500000,607.9,1189,700,112.6,2691,0.04144,0.1796,0.1502,0.009439,0.0003872,0.8649,1.388,0.7712,0.7076,5.92,67140000,39440000000,9451000,4273000,587.4,0.1408,0.06364
United Kingdom,2019,39680000000,79430000000,47170000000,7971000000,1.807E+11,2591000,7981000,6229000,740200,26000,59600000,91640000,53430000,49610000,397500000,587.6,1176,698.5,118,2676,0.03837,0.1182,0.09224,0.01096,0.000385,0.8826,1.357,0.7912,0.7347,5.886,67530000,39200000000,5489000,3819000,580.4,0.08128,0.05656
